threshold,in_domain_count,out_of_domain_count,in_domain_fraction,in_domain_mae,out_of_domain_mae
0.2,204,8,0.9622641509433962,0.42045606113824185,0.4817530259490013
0.25,195,17,0.9198113207547169,0.4047977346548667,0.6289119071820203
0.3,183,29,0.8632075471698113,0.4025864090196422,0.5501292354896151
0.35,170,42,0.8018867924528302,0.3943800355967353,0.5376774911511513
0.39999999999999997,148,64,0.6981132075471698,0.36682313623863294,0.5521443205699326
0.44999999999999996,133,79,0.6273584905660378,0.3607169059658409,0.5272368631181835
0.49999999999999994,113,99,0.5330188679245284,0.37539901725486313,0.47683809828276574
0.5499999999999999,88,124,0.41509433962264153,0.37471500877629627,0.4568720960280587
0.5999999999999999,73,139,0.3443396226415094,0.36851377998312856,0.45126298374838103
0.6499999999999999,47,165,0.22169811320754718,0.39217182336969575,0.43148475746313736
0.7,28,184,0.1320754716981132,0.43889385742800574,0.4203153949554847
0.7499999999999999,18,194,0.08490566037735849,0.4280607386430104,0.4222781823928823
0.7999999999999998,11,201,0.05188679245283019,0.47083305272189047,0.420138791541555
