rank,model_name,feature_group,feature_count,test_rows,mae,rmse,r2,median_absolute_error,explained_variance,mean_residual,residual_standard_deviation,maximum_absolute_error,model_path
1,xgboost,combined,2050,212,0.42276915414996863,0.5713254350307508,0.8495063205543341,0.3302576160430908,0.8500840477350636,-0.035398579040225954,0.5702277556512043,2.4877481269836426,models/combined/xgboost.joblib
2,catboost,descriptors_logkow,205,212,0.43357195979019986,0.5656178721885773,0.8524981763273569,0.33110028109188705,0.8533128142901039,-0.04203458374531685,0.5640537838792429,2.139343975255304,models/descriptors_logkow/catboost.joblib
3,xgboost,descriptors_logkow,205,212,0.4367855694144964,0.5876843652156142,0.8407646758770582,0.3098528623580934,0.8414760426062902,-0.0392799750631148,0.5863701874054652,2.5885739135742187,models/descriptors_logkow/xgboost.joblib
4,catboost,combined,2050,212,0.43946213331981576,0.5628843645294915,0.8539204195134653,0.3517833332390335,0.8544429892831372,-0.03366639154247051,0.561876660764868,2.2669249523779427,models/combined/catboost.joblib
5,xgboost,descriptors_only,204,212,0.4566690069212104,0.6048783655686015,0.8313108128279549,0.3569667041301727,0.8324777071893295,-0.05030836456226853,0.6027826354400172,2.34527156829834,models/descriptors_only/xgboost.joblib
6,random_forest,descriptors_logkow,205,212,0.4668813820754723,0.6039979234631814,0.8318015328809346,0.3753500000000006,0.83431354088644,-0.07381335377358485,0.5994706667990777,2.457539999999999,models/descriptors_logkow/random_forest.joblib
7,catboost,descriptors_only,204,212,0.46800336689396915,0.5972437538987762,0.8355422381696446,0.3925955906214667,0.8366020682316151,-0.04794491420291082,0.5953162073832505,2.451948058866369,models/descriptors_only/catboost.joblib
8,random_forest,descriptors_only,204,212,0.48933394575471756,0.6313343520736655,0.8162319597386889,0.37210000000000043,0.8198345441655919,-0.08839577594339623,0.6251153900710172,2.3535600000000017,models/descriptors_only/random_forest.joblib
9,random_forest,combined,2050,212,0.5027056159029655,0.6470009158547807,0.8069983893458537,0.3996499999999974,0.8107760990453035,-0.09051878571428561,0.640637600012469,2.1961000000000013,models/combined/random_forest.joblib
10,catboost,logkow_only,1,212,0.6033594989962947,0.8379004096162828,0.6763050321445969,0.4265503647524864,0.6763596638198144,0.010885457529155875,0.8378296982379626,3.7443099200940937,models/logkow_only/catboost.joblib
11,xgboost,logkow_only,1,212,0.6281605016608844,0.8706399392907507,0.650515182023589,0.4508468681573868,0.6508877876176473,0.02842818376731197,0.8701756961992756,3.8444250869750975,models/logkow_only/xgboost.joblib
12,xgboost,fingerprints_only,1845,212,0.670634570293269,0.840308127086245,0.6744420761675407,0.5740735423564911,0.6750634196771494,-0.036710501029244016,0.8395058591584544,2.728580355644226,models/fingerprints_only/xgboost.joblib
13,catboost,fingerprints_only,1845,212,0.7191231473526002,0.8783860982230752,0.644268724074134,0.6476876338155501,0.644375687659393,-0.015231490518139958,0.8782540288823922,2.4419879200612935,models/fingerprints_only/catboost.joblib
14,random_forest,fingerprints_only,1845,212,0.7282036700749461,0.8980213472773076,0.6281870912715259,0.6572699999999975,0.6282068213461217,-0.006541672415896363,0.8979975204240566,2.45369,models/fingerprints_only/random_forest.joblib
15,random_forest,logkow_only,1,212,0.730363424938208,0.9849679964760336,0.5527036216739398,0.5709839761904769,0.5551945736536578,0.0735033455020441,0.9822215698517411,3.8432163809523656,models/logkow_only/random_forest.joblib
16,ridge_regression,descriptors_only,204,212,0.7704609681172163,2.091256834063229,-1.0163498575839869,0.47901969437202696,-1.0117956264975447,-0.09938754439496032,2.088893789074806,27.087477045475573,models/descriptors_only/ridge_regression.joblib
17,ridge_regression,descriptors_logkow,205,212,0.771821596089583,2.184557858713776,-1.200281492442541,0.48227153807516343,-1.1944416803454803,-0.1125443935913258,2.1816568927169278,28.669198548183058,models/descriptors_logkow/ridge_regression.joblib
18,linear_regression,logkow_only,1,212,0.7809138442491138,1.0209511965923768,0.5194250743346424,0.6348935628417008,0.5199502081227039,0.03374888351384785,1.020393237279126,5.079579388367371,models/logkow_only/linear_regression.joblib
19,ridge_regression,logkow_only,1,212,0.7811854444106293,1.0210930651057657,0.5192915063689123,0.6356510852525391,0.5198153008419575,0.03370581901830538,1.0205366065807695,5.075594454684735,models/logkow_only/ridge_regression.joblib
20,linear_regression,descriptors_logkow,205,212,0.7911071164334923,2.062255933903164,-0.9608134005299831,0.5308000228440792,-0.9576793304952933,-0.08244774412744175,2.060607169357397,26.155298787999524,models/descriptors_logkow/linear_regression.joblib
21,linear_regression,descriptors_only,204,212,0.8411005293800992,2.3110321861012126,-1.462425673395627,0.5127314883881171,-1.4578260968332235,-0.09988110880579941,2.3088727832644813,29.842222170541366,models/descriptors_only/linear_regression.joblib
22,ridge_regression,combined,2050,212,1.1706024929908068,1.6265745552659288,-0.21982938498741622,0.9069865172975071,-0.21322372280055424,-0.11969681895884347,1.6221644353670461,8.996093165637795,models/combined/ridge_regression.joblib
23,ridge_regression,fingerprints_only,1845,212,1.223495946091115,1.676891262703368,-0.296465445980594,0.9619268260165167,-0.2903817259601029,-0.11487063936190843,1.67295219392052,6.567895675762708,models/fingerprints_only/ridge_regression.joblib
24,linear_regression,fingerprints_only,1845,212,1.8245863592503238,2.4534023475405338,-1.7751642706179163,1.3939338799572523,-1.7751392353709496,-0.007368861073245963,2.4533912812276575,9.30615052883289,models/fingerprints_only/linear_regression.joblib
25,linear_regression,combined,2050,212,114.80823668349116,1335.8681003474571,-822768.7217181178,13.01923249104945,-818243.0522680668,99.07540217950431,1332.189042969838,19443.4208860478,models/combined/linear_regression.joblib
