model_name,feature_group,model_path,feature_count,train_rows,test_rows,prediction_min,prediction_max,prediction_mean
linear_regression,logkow_only,models/logkow_only/linear_regression.joblib,1,844,212,-0.513598979283989,5.399579388367371,1.9959209278069068
ridge_regression,logkow_only,models/logkow_only/ridge_regression.joblib,1,844,212,-0.5105860687445518,5.395594454684735,1.9959639923024493
random_forest,logkow_only,models/logkow_only/random_forest.joblib,1,844,212,-0.07769738095238062,5.380369142857137,1.9561664658187108
xgboost,logkow_only,models/logkow_only/xgboost.joblib,1,844,212,-0.15480229258537292,5.580977916717529,2.001241683959961
catboost,logkow_only,models/logkow_only/catboost.joblib,1,844,212,0.00011380253766368753,3.9777828156115786,2.018784353791599
linear_regression,descriptors_only,models/descriptors_only/linear_regression.joblib,204,844,212,-3.8481965628853523,30.382222170541365,2.1295509201265537
ridge_regression,descriptors_only,models/descriptors_only/ridge_regression.joblib,204,844,212,-2.687446475012559,27.627477045475572,2.129057355715715
random_forest,descriptors_only,models/descriptors_only/random_forest.joblib,204,844,212,0.24379249999999925,5.691280000000001,2.1180655872641507
xgboost,descriptors_only,models/descriptors_only/xgboost.joblib,204,844,212,-0.2684892416000366,5.730159759521484,2.0799782276153564
catboost,descriptors_only,models/descriptors_only/catboost.joblib,204,844,212,-0.060925448597779486,5.308065647430333,2.077614725523665
linear_regression,fingerprints_only,models/fingerprints_only/linear_regression.joblib,1845,844,212,-6.263920794006912,10.56337716942469,2.037038672394001
ridge_regression,fingerprints_only,models/fingerprints_only/ridge_regression.joblib,1845,844,212,-4.161530359712316,7.217895675762708,2.144540450682663
random_forest,fingerprints_only,models/fingerprints_only/random_forest.joblib,1845,844,212,0.47832300000000116,5.11693999999998,2.036211483736651
xgboost,fingerprints_only,models/fingerprints_only/xgboost.joblib,1845,844,212,0.18067194521427155,5.442289352416992,2.066380262374878
catboost,fingerprints_only,models/fingerprints_only/catboost.joblib,1845,844,212,0.03410694930467151,5.189278265901075,2.0449013018388946
linear_regression,descriptors_logkow,models/descriptors_logkow/linear_regression.joblib,205,844,212,-3.347664752821256,26.695298787999523,2.112117555448197
ridge_regression,descriptors_logkow,models/descriptors_logkow/ridge_regression.joblib,205,844,212,-3.2554810180522784,29.209198548183057,2.1422142049120803
random_forest,descriptors_logkow,models/descriptors_logkow/random_forest.joblib,205,844,212,0.19514999999999907,5.666879999999999,2.1034831650943397
xgboost,descriptors_logkow,models/descriptors_logkow/xgboost.joblib,205,844,212,-0.17938345670700073,5.705357074737549,2.0689499378204346
catboost,descriptors_logkow,models/descriptors_logkow/catboost.joblib,205,844,212,0.10704682319977987,5.251331285280804,2.071704395066072
linear_regression,combined,models/combined/linear_regression.joblib,2050,844,212,-19442.8808860478,152.94025405601363,-97.04573236818352
ridge_regression,combined,models/combined/ridge_regression.joblib,2050,844,212,-3.9296374197944215,9.536093165637794,2.1493666302795984
random_forest,combined,models/combined/random_forest.joblib,2050,844,212,0.252781999999999,5.542239999999994,2.1201885970350403
xgboost,combined,models/combined/xgboost.joblib,2050,844,212,-0.1546754390001297,5.715694427490234,2.065068483352661
catboost,combined,models/combined/catboost.joblib,2050,844,212,0.1530358681560129,5.2176855477037805,2.0633362028632254
